,Flow ID,Flow status,Flow date,Decision date,Amount (USD),Original amount,Description,Source Organization,Source Organization type,Source Emergency,Source Location,Source Project,Source Usage year,Source Plan,Source Field cluster,Source Sector,Destination Organization,DestOrgCode,Destination Usage year,DestoOrgCode,Destination Plan,Destination Organization type,Destination Emergency,Destination Location,Destination Project,Destination Field cluster,Destination Sector,Linked parent ID,Linked child ID,New money,Donor project code,Modality,Last updated,Created,Version ID,Earmarking,Budget year,Contribution type,Exchange rate,Original currency,Amount shared on boundary (USD),Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
94776,107450,Paid Contribution,24/06/2014,24/06/2014,413223,250000,Strengthening Humanitarian Coordination and Advocacy in Yemen [OCT 4218]; [203847-105; 40075891],"United Kingdom, Government of",Government: National government,,United Kingdom,,2014,,,,Office for the Coordination of Humanitarian Affairs,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/CSS/63825/R/119,COORDINATION AND SUPPORT SERVICES,Coordination and support services,,,Yes,[OCT 4218];[203847-105; 40075891],Traditional aid,29/08/2014,18/07/2013,1,,2014,financial,0.605,Pound Sterling,,Standard,Office for the Coordination of Humanitarian Affairs,,,
95223,111497,Paid Contribution,17/07/2013,17/07/2013,413223,250000,Yemen - OCHA Office  [OCT 4343],"United Kingdom, Government of",Government: National government,,United Kingdom,,2014,,,,Office for the Coordination of Humanitarian Affairs,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/CSS/63825/R/119,COORDINATION AND SUPPORT SERVICES,Coordination and support services,,,Yes,[OCT 4343],Traditional aid,21/10/2014,10/12/2013,1,,2014,financial,0.605,Pound Sterling,,Standard,Office for the Coordination of Humanitarian Affairs,,,
95566,112568,Paid Contribution,10/04/2014,10/04/2014,1000000,,Strengthening Humanitarian Coordination and Advocacy in Yemen [OCT 4362]; [AID-OFDA-IO-14-00010],"United States of America, Government of",Government: National government,,United States,,2014,,,,Office for the Coordination of Humanitarian Affairs,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/CSS/63825/R/119,COORDINATION AND SUPPORT SERVICES,Coordination and support services,,,Yes,[OCT 4362];[AID-OFDA-IO-14-00010],Traditional aid,29/08/2014,22/01/2014,1,,2014,financial,,US Dollar,,Standard,Office for the Coordination of Humanitarian Affairs,,,
95825,113093,Paid Contribution,01/01/2014,01/01/2014,9192087,,Emergency Response Fund for Yemen,Yemen Humanitarian Fund,Pooled fund: Country-based,,Yemen,,2013,,,,Yemen Humanitarian Fund,,2014,,Yemen 2014,Pooled fund: Country-based,,Yemen,,,,,,No,,,24/02/2014,17/02/2014,1,softly earmarked,2014,financial,,US Dollar,,Carryover,,,,
96115,113692,Paid Contribution,23/02/2014,23/02/2014,300000,,Yemen - ERF (OCT 4446),"Korea, Republic of, Government of",Government: National government,,"Korea, Republic of",,2014,,,,Yemen Humanitarian Fund,,2014,,Yemen 2014,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 4446,Traditional aid,24/03/2014,27/02/2014,1,softly earmarked,2014,financial,,US Dollar,,Standard,,,,
96168,113787,Paid Contribution,03/03/2014,03/03/2014,2837133,,"Nutrition, Protection, WASH (USAID/OFDA)","United States of America, Government of",Government: National government,,United States,,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/68976/R/124,NUTRITION,Health,,,Yes,,Traditional aid,03/11/2014,04/03/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
96169,113788,Paid Contribution,03/03/2014,03/03/2014,500000,,Health (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2014,,,,World Health Organization,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/68410/R/122,HEALTH,Health,,,Yes,,Traditional aid,01/05/2014,04/03/2014,1,,2014,financial,,US Dollar,,Standard,"United States of America, Government of",,,
96197,113844,Paid Contribution,05/03/2014,03/03/2014,300000,,Food aid,"Korea, Republic of, Government of",Government: National government,,"Korea, Republic of",,2014,,,,World Food Programme,,2014,,Yemen 2014,UN agency,,Yemen,,,,,,Yes,,Traditional aid,27/06/2014,07/03/2014,1,,2014,financial,,US Dollar,,Standard,"Korea, Republic of, Government of",,,
96198,113845,Paid Contribution,03/03/2014,03/03/2014,200000,,Nutrition,"Korea, Republic of, Government of",Government: National government,,"Korea, Republic of",,2014,,,,United Nations Children's Fund,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/H/68976/R/124,NUTRITION,Health,,,Yes,,Traditional aid,29/08/2014,07/03/2014,1,,2014,financial,,US Dollar,,Standard,"Korea, Republic of, Government of",,,
96199,113846,Paid Contribution,03/03/2014,03/03/2014,100000,,Protection,"Korea, Republic of, Government of",Government: National government,,"Korea, Republic of",,2014,,,,United Nations High Commissioner for Refugees,,2014,,Yemen 2014,UN agency,,Yemen,YEM-14/P-HR-RL/69196/R/120,PROTECTION (GBV&Child Protection),Protection,,,Yes,,Traditional aid,21/11/2017,07/03/2014,1,,2014,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
96205,113852,Paid Contribution,26/02/2014,26/02/2014,1833517,10000000,Yemen - ERF (OCT 4451),"Denmark, Government of",Government: National government,,Denmark,,2014,,,,Yemen Humanitarian Fund,,2014,,Yemen 2014,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 4451,Traditional aid,24/03/2014,10/03/2014,1,softly earmarked,2014,financial,5.453999,Danish Krone,,Standard,"Denmark, Government of",,,
