,Flow status,Flow date,Decision date,Amount (USD),Source Organization,Source Organization type,Source Location,Source Usage year,Source Field cluster,Source Sector,Destination Organization,Destination Usage year,Destination Organization type,Destination Location,Destination Field cluster,Destination Sector,New money,Last updated,Created,Earmarking,Budget year,Contribution type,Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
94776,Paid Contribution,24/06/2014,24/06/2014,413223,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,Office for the Coordination of Humanitarian Affairs,2014,UN agency,Yemen,COORDINATION AND SUPPORT SERVICES,Coordination and support services,Yes,29/08/2014,18/07/2013,,2014,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
95223,Paid Contribution,17/07/2013,17/07/2013,413223,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,Office for the Coordination of Humanitarian Affairs,2014,UN agency,Yemen,COORDINATION AND SUPPORT SERVICES,Coordination and support services,Yes,21/10/2014,10/12/2013,,2014,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
95566,Paid Contribution,10/04/2014,10/04/2014,1000000,"United States of America, Government of",Government: National government,United States,2014,,,Office for the Coordination of Humanitarian Affairs,2014,UN agency,Yemen,COORDINATION AND SUPPORT SERVICES,Coordination and support services,Yes,29/08/2014,22/01/2014,,2014,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
95825,Paid Contribution,01/01/2014,01/01/2014,9192087,Yemen Humanitarian Fund,Pooled fund: Country-based,Yemen,2013,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,No,24/02/2014,17/02/2014,softly earmarked,2014,financial,Carryover,,,,
96115,Paid Contribution,23/02/2014,23/02/2014,300000,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,24/03/2014,27/02/2014,softly earmarked,2014,financial,Standard,,,,
96168,Paid Contribution,03/03/2014,03/03/2014,2837133,"United States of America, Government of",Government: National government,United States,2014,,,United Nations Children's Fund,2014,UN agency,Yemen,NUTRITION,Health,Yes,03/11/2014,04/03/2014,,2014,financial,Standard,"United States of America, Government of",,,
96169,Paid Contribution,03/03/2014,03/03/2014,500000,"United States of America, Government of",Government: National government,United States,2014,,,World Health Organization,2014,UN agency,Yemen,HEALTH,Health,Yes,01/05/2014,04/03/2014,,2014,financial,Standard,"United States of America, Government of",,,
96197,Paid Contribution,05/03/2014,03/03/2014,300000,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2014,,,World Food Programme,2014,UN agency,Yemen,,,Yes,27/06/2014,07/03/2014,,2014,financial,Standard,"Korea, Republic of, Government of",,,
96198,Paid Contribution,03/03/2014,03/03/2014,200000,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2014,,,United Nations Children's Fund,2014,UN agency,Yemen,NUTRITION,Health,Yes,29/08/2014,07/03/2014,,2014,financial,Standard,"Korea, Republic of, Government of",,,
96199,Paid Contribution,03/03/2014,03/03/2014,100000,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2014,,,United Nations High Commissioner for Refugees,2014,UN agency,Yemen,PROTECTION (GBV&Child Protection),Protection,Yes,21/11/2017,07/03/2014,,2014,financial,Standard,United Nations High Commissioner for Refugees,,,
96205,Paid Contribution,26/02/2014,26/02/2014,1833517,"Denmark, Government of",Government: National government,Denmark,2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,24/03/2014,10/03/2014,softly earmarked,2014,financial,Standard,"Denmark, Government of",,,
96235,Paid Contribution,19/03/2014,13/02/2014,1000000,"Japan, Government of",Government: National government,Japan,2014,,,International Organization for Migration,2014,UN agency,Yemen,MULTI-SECTOR ,Multi-sector,Yes,29/08/2014,12/03/2014,,2014,financial,Standard,International Organization for Migration,,,
96371,Paid Contribution,19/03/2014,13/02/2014,1000000,"Japan, Government of",Government: National government,Japan,2014,,,United Nations Population Fund,2014,UN agency,Yemen,PROTECTION (GBV&Child Protection),Protection,Yes,21/11/2017,21/03/2014,,2014,financial,Standard,"Japan, Government of",,,
96400,Paid Contribution,19/03/2014,05/03/2014,3500000,"Japan, Government of",Government: National government,Japan,2014,,,World Health Organization,2014,UN agency,Yemen,HEALTH,Health,Yes,01/05/2014,24/03/2014,,2014,financial,Standard,"Japan, Government of",,,
96577,Paid Contribution,26/03/2014,26/03/2014,2686567,"United Kingdom, Government of",Government: National government,United Kingdom,2014,,,Yemen Humanitarian Fund,2014,Pooled fund: Country-based,Yemen,,,Yes,03/06/2014,31/03/2014,softly earmarked,2014,financial,Standard,,,,
96609,Paid Contribution,28/02/2014,28/02/2014,399218,"Norway, Government of",Government: National government,Norway,2014,,,Norwegian Refugee Council,2014,NGO: International,Yemen,SHELTER/CCCM/NFI,Emergency Shelter and NFI,Yes,29/08/2014,01/04/2014,,2014,financial,Standard,"Norway, Government of",,,
96659,Paid Contribution,20/03/2014,20/03/2014,825083,"Norway, Government of",Government: National government,Norway,2014,,,International Committee of the Red Cross,2014,Red Cross/Red Crescent: International Society,Yemen,,,Yes,10/04/2014,03/04/2014,,2014,financial,Standard,"Norway, Government of",,,
96874,Paid Contribution,09/04/2014,09/04/2014,564334,"Switzerland, Government of",Government: National government,Switzerland,2014,,,Office for the Coordination of Humanitarian Affairs,2014,UN agency,Yemen,COORDINATION AND SUPPORT SERVICES,Coordination and support services,Yes,29/08/2014,10/04/2014,,2014,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
97038,Paid Contribution,14/04/2014,14/04/2014,293035,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2014,,,Food & Agriculture Organization of the United Nations,2014,UN agency,Yemen,FOOD SECURITY AND AGRICULTURE,Agriculture,Yes,21/11/2017,23/04/2014,,2014,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
